"","table_name","column_name","type","min","mean","max","no_distict_values","values"
"1","bemovi_mag_25__mean_density_per_ml_non_cropped","timestamp","TEXT",NA,NA,NA,53,"20211103, 20211108, 20211110, 20211112, 20211115, 20211117, 20211119, 20211122, 20211124, 20211126, 20211129, 20211201, 20211203, 20211206, 20211208, 20211210, 20211213, 20211215, 20211217, 20211220, 20211222, 20211224, 20211227, 20211229, 20211231, ..., 20211103, 20211108, 20211110, 20211112, 20211115, 20211117, 20211119, 20211122, 20211124, 20211126, 20211129, 20211201, 20211203, 20211206, 20211208, 20211210, 20211213, 20211215, 20211217, 20211220, 20211222, 20211224, 20211227, 20211229, 20211231"
"2","bemovi_mag_25__mean_density_per_ml_non_cropped","date","TEXT",NA,NA,NA,53,"01.12.21, 02.02.22, 02.03.22, 03.01.22, 03.11.21, 03.12.21, 04.02.22, 04.03.22, 05.01.22, 06.12.21, 07.01.22, 07.02.22, 07.03.22, 08.11.21, 08.12.21, 09.02.22, 10.01.22, 10.11.21, 10.12.21, 11.02.22, 12.01.22, 12.11.21, 13.12.21, 14.01.22, 14.02.22, ..., 01.12.21, 02.02.22, 02.03.22, 03.01.22, 03.11.21, 03.12.21, 04.02.22, 04.03.22, 05.01.22, 06.12.21, 07.01.22, 07.02.22, 07.03.22, 08.11.21, 08.12.21, 09.02.22, 10.01.22, 10.11.21, 10.12.21, 11.02.22, 12.01.22, 12.11.21, 13.12.21, 14.01.22, 14.02.22"
"3","bemovi_mag_25__mean_density_per_ml_non_cropped","species","TEXT",NA,NA,NA,5,""
"4","bemovi_mag_25__mean_density_per_ml_non_cropped","composition_id","TEXT",NA,NA,NA,15,""
"5","bemovi_mag_25__mean_density_per_ml_non_cropped","bottle","TEXT",NA,NA,NA,30,""
"6","bemovi_mag_25__mean_density_per_ml_non_cropped","temperature_treatment","TEXT",NA,NA,NA,2,""
"7","bemovi_mag_25__mean_density_per_ml_non_cropped","magnification","INTEGER",25,25,25,1,""
"8","bemovi_mag_25__mean_density_per_ml_non_cropped","sample","INTEGER",1,1,1,1,""
"9","bemovi_mag_25__mean_density_per_ml_non_cropped","density","REAL",0,16.8956785050504,4045.357352,912,"NA"
