"","table_name","column_name","type","min","mean","max","no_distict_values","values"
"41","flowcam__algae_traits","image_width","INTEGER",3,23.4131933728244,620,408,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, ..., 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27"
"42","flowcam__algae_traits","image_x","INTEGER",0,618.090473474357,1283,1279,"0, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, ..., 0, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29"
"43","flowcam__algae_traits","image_y","INTEGER",0,422.303412813104,950,928,"0, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, ..., 0, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47"
"44","flowcam__algae_traits","intensity","REAL",26.9405,116.580705046689,196.88,364952,"NA"
"45","flowcam__algae_traits","length","REAL",2.04,16.1904340935755,441.34,14611,"NA"
"46","flowcam__algae_traits","particles_per_chain","INTEGER",1,1.02209036348697,28,21,""
"47","flowcam__algae_traits","perimeter","REAL",10.4215,49.6711448412126,4420.66,58799,"NA"
"48","flowcam__algae_traits","ratio_blue_green","REAL",0.4609,0.936870389671209,1.7155,8435,"NA"
"49","flowcam__algae_traits","ratio_red_blue","REAL",0.3747,1.09978595428762,2.1918,9938,"NA"
"50","flowcam__algae_traits","ratio_red_green","REAL",0.5867,1.02618940423398,1.64,4546,"NA"
"51","flowcam__algae_traits","roughness","REAL",0.3402,1.16987740773604,12.14,14024,"NA"
"52","flowcam__algae_traits","scatter_area","INTEGER",0,0,0,1,""
"53","flowcam__algae_traits","scatter_peak","INTEGER",0,0,0,1,""
"54","flowcam__algae_traits","scatter_width","INTEGER",0,0,0,1,""
"55","flowcam__algae_traits","sigma_intensity","REAL",0.73,18.2295244553507,55.28,198973,"NA"
"56","flowcam__algae_traits","source_image","INTEGER",32,570.346790866939,1170,1139,"32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, ..., 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56"
"57","flowcam__algae_traits","sum_intensity","INTEGER",622,38004.417856106,18011809,347608,"622, 728, 775, 788, 810, 814, 815, 844, 856, 858, 859, 863, 864, 870, 871, 873, 874, 875, 876, 879, 880, 881, 883, 887, 888, ..., 622, 728, 775, 788, 810, 814, 815, 844, 856, 858, 859, 863, 864, 870, 871, 873, 874, 875, 876, 879, 880, 881, 883, 887, 888"
"58","flowcam__algae_traits","symmetry","REAL",0,0.64232941670626,1,9954,"NA"
"59","flowcam__algae_traits","time","TEXT",NA,NA,NA,26375,"09:37:43, 09:37:44, 09:37:45, 09:37:46, 09:37:47, 09:37:48, 09:37:49, 09:37:50, 09:37:51, 09:37:52, 09:37:53, 09:37:54, 09:37:55, 09:37:56, 09:37:57, 09:37:58, 09:37:59, 09:38:00, 09:38:01, 09:38:02, 09:38:03, 09:38:04, 09:38:05, 09:38:06, 09:38:07, ..., 09:37:43, 09:37:44, 09:37:45, 09:37:46, 09:37:47, 09:37:48, 09:37:49, 09:37:50, 09:37:51, 09:37:52, 09:37:53, 09:37:54, 09:37:55, 09:37:56, 09:37:57, 09:37:58, 09:37:59, 09:38:00, 09:38:01, 09:38:02, 09:38:03, 09:38:04, 09:38:05, 09:38:06, 09:38:07"
"60","flowcam__algae_traits","timestamp_flowcam","TEXT",NA,NA,NA,1589776,"1632146115.004, 1632146115.052, 1632146115.102, 1632146115.152, 1632146115.202, 1632146115.252, 1632146115.304, 1632146115.352, 1632146115.402, 1632146115.454, 1632146115.504, 1632146115.552, 1632146115.607, 1632146115.652, 1632146115.702, 1632146115.754, 1632146115.802, 1632146115.852, 1632146115.904, 1632146115.952, 1632146116.002, 1632146116.052, 1632146116.102, 1632146116.152, 1632146116.204, ..., 1632146115.004, 1632146115.052, 1632146115.102, 1632146115.152, 1632146115.202, 1632146115.252, 1632146115.304, 1632146115.352, 1632146115.402, 1632146115.454, 1632146115.504, 1632146115.552, 1632146115.607, 1632146115.652, 1632146115.702, 1632146115.754, 1632146115.802, 1632146115.852, 1632146115.904, 1632146115.952, 1632146116.002, 1632146116.052, 1632146116.102, 1632146116.152, 1632146116.204"
"61","flowcam__algae_traits","transparency","REAL",0.01,0.264842897982423,0.889,8208,"NA"
"62","flowcam__algae_traits","volume_abd","REAL",0.3541879,573.638312980262,8112361,18025,"NA"
"63","flowcam__algae_traits","volume_esd","REAL",4.189044,2906.13764418357,17875770,16440369,"NA"
"64","flowcam__algae_traits","width","REAL",0.55,6.09215506858836,272.71,9253,"NA"
"65","flowcam__algae_traits","bottle","TEXT",NA,NA,NA,30,""
"66","flowcam__algae_traits","volume_imaged","REAL",0.0184,0.0374760363905315,0.0389,51,"NA"
"67","flowcam__algae_traits","dilution_factor","INTEGER",1,1.00395775264019,2,2,""
"68","flowcam__algae_traits","area_x","TEXT",NA,NA,NA,4,""
"69","flowcam__algae_traits","area_y","TEXT",NA,NA,NA,4,""
"70","flowcam__algae_traits","subarea","TEXT",NA,NA,NA,16,""
"71","flowcam__algae_traits","temperature","TEXT",NA,NA,NA,2,""
"72","flowcam__algae_traits","richness","INTEGER",7,10.5435643335357,14,3,""
"73","flowcam__algae_traits","composition","TEXT",NA,NA,NA,15,""
"74","flowcam__algae_traits","incubator","TEXT",NA,NA,NA,8,""
"75","flowcam__algae_traits","species","TEXT",NA,NA,NA,20,""
"76","flowcam__algae_traits","species_probability","REAL",0.108395012222732,0.779930684073456,0.999998393153683,54088005,"NA"
"77","flowcam__algae_traits","airbubbles_prob","REAL",3.01714657846748e-09,0.0090346013998457,0.999936472033665,54088006,"NA"
"78","flowcam__algae_traits","chlamydomonas_prob","REAL",2.84171780897777e-09,0.131551954577548,0.999558731081314,54088005,"NA"
"79","flowcam__algae_traits","chlamydomonasclumps_prob","REAL",1.63645631234136e-09,0.0184335587757298,0.999951232187133,54088007,"NA"
"80","flowcam__algae_traits","coleps_irchel_prob","REAL",1.55790221989835e-08,0.00210751898423852,0.995363135389629,34857707,"NA"
"81","flowcam__algae_traits","cosmarium_prob","REAL",2.31650198807358e-08,0.00200125973337806,0.999783122469462,25437985,"NA"
"82","flowcam__algae_traits","cryptomonas_prob","REAL",3.11464434073555e-09,0.0518299750551523,0.99973147857537,54088006,"NA"
"83","flowcam__algae_traits","debris_prob","REAL",6.76327962396377e-09,0.040771123309622,0.999550463182387,54088005,"NA"
"84","flowcam__algae_traits","desmodesmus_prob","REAL",4.77600546366327e-08,0.471794234376952,0.999964844858747,22068357,"NA"
"85","flowcam__algae_traits","digestedalgae_prob","REAL",4.63803441254159e-09,0.0479156833070024,0.998182388916094,54088006,"NA"
"86","flowcam__algae_traits","loxocephallus_prob","REAL",4.45856378025394e-09,0.00353351178423013,0.987661173843602,34190449,"NA"
"87","flowcam__algae_traits","otherciliate_prob","REAL",5.11155858147669e-08,0.00155391369488968,0.997772430117089,54088006,"NA"
"88","flowcam__algae_traits","tetrahymena_prob","REAL",7.73827188172796e-08,0.00380933708288712,0.989248743559285,19171732,"NA"
"89","flowcam__algae_traits","staurastrum1_prob","INTEGER",6.48272118930091e-07,0.010195915155491,0.999535141096859,19492251,"6.48272118930091e-07, 1.04258585757651e-06, 1.22109708399001e-06, 1.24749658572951e-06, 1.27109490518817e-06, 1.33549852079195e-06, 1.62255948024235e-06, 1.62821850459749e-06, 1.66882830149877e-06, 1.68516189396218e-06, 1.79813079227625e-06, 1.8453202549604e-06, 1.87693410450913e-06, 1.9681920197239e-06, 1.99997558136852e-06, 2.07122198219598e-06, 2.09798133384389e-06, 2.20587078240277e-06, 2.21043191880925e-06, 2.25697233514209e-06, 2.27414545022186e-06, 2.31291770437047e-06, 2.37616511687452e-06, 2.38365992168964e-06, 2.38643790974093e-06, ..., 6.48272118930091e-07, 1.04258585757651e-06, 1.22109708399001e-06, 1.24749658572951e-06, 1.27109490518817e-06, 1.33549852079195e-06, 1.62255948024235e-06, 1.62821850459749e-06, 1.66882830149877e-06, 1.68516189396218e-06, 1.79813079227625e-06, 1.8453202549604e-06, 1.87693410450913e-06, 1.9681920197239e-06, 1.99997558136852e-06, 2.07122198219598e-06, 2.09798133384389e-06, 2.20587078240277e-06, 2.21043191880925e-06, 2.25697233514209e-06, 2.27414545022186e-06, 2.31291770437047e-06, 2.37616511687452e-06, 2.38365992168964e-06, 2.38643790974093e-06"
"90","flowcam__algae_traits","colpidium_prob","INTEGER",1.09478424193706e-08,0.00140720771259856,0.973595982070885,33016194,"1.09478424193706e-08, 1.5420487929593e-08, 1.6814184570714e-08, 1.75445073081653e-08, 1.77925745044025e-08, 1.8564385365895e-08, 1.99827527273135e-08, 2.02257315265253e-08, 2.04199157710438e-08, 2.07472613549213e-08, 2.07542500331702e-08, 2.07596811795544e-08, 2.10627212999313e-08, 2.15774984706452e-08, 2.16186770669326e-08, 2.19400030708598e-08, 2.3074878778999e-08, 2.32348084453445e-08, 2.35663187902656e-08, 2.42504840476789e-08, 2.52260575323438e-08, 2.52650944346179e-08, 2.52696275621937e-08, 2.56255243116325e-08, 2.57342662627555e-08, ..., 1.09478424193706e-08, 1.5420487929593e-08, 1.6814184570714e-08, 1.75445073081653e-08, 1.77925745044025e-08, 1.8564385365895e-08, 1.99827527273135e-08, 2.02257315265253e-08, 2.04199157710438e-08, 2.07472613549213e-08, 2.07542500331702e-08, 2.07596811795544e-08, 2.10627212999313e-08, 2.15774984706452e-08, 2.16186770669326e-08, 2.19400030708598e-08, 2.3074878778999e-08, 2.32348084453445e-08, 2.35663187902656e-08, 2.42504840476789e-08, 2.52260575323438e-08, 2.52650944346179e-08, 2.52696275621937e-08, 2.56255243116325e-08, 2.57342662627555e-08"
"91","flowcam__algae_traits","colpidiumvacuoles_prob","INTEGER",3.06586716253082e-08,0.0322478602593013,0.998613613800058,33016194,"3.06586716253082e-08, 3.37908875383785e-08, 4.55688946529469e-08, 4.5630077651424e-08, 4.5956805924011e-08, 4.73388819182739e-08, 4.84252391437189e-08, 4.9859430928814e-08, 5.01071953193578e-08, 5.10589536137529e-08, 5.18369373801576e-08, 5.30508421885469e-08, 5.47203942585806e-08, 5.64314659600664e-08, 5.66502388379327e-08, 5.83388686617594e-08, 5.94092374252799e-08, 5.98546116566405e-08, 6.03708413720946e-08, 6.04998716265423e-08, 6.0683169158461e-08, 6.21300663252271e-08, 6.23925591043322e-08, 6.29484349382801e-08, 6.38922705147618e-08, ..., 3.06586716253082e-08, 3.37908875383785e-08, 4.55688946529469e-08, 4.5630077651424e-08, 4.5956805924011e-08, 4.73388819182739e-08, 4.84252391437189e-08, 4.9859430928814e-08, 5.01071953193578e-08, 5.10589536137529e-08, 5.18369373801576e-08, 5.30508421885469e-08, 5.47203942585806e-08, 5.64314659600664e-08, 5.66502388379327e-08, 5.83388686617594e-08, 5.94092374252799e-08, 5.98546116566405e-08, 6.03708413720946e-08, 6.04998716265423e-08, 6.0683169158461e-08, 6.21300663252271e-08, 6.23925591043322e-08, 6.29484349382801e-08, 6.38922705147618e-08"
"92","flowcam__algae_traits","monoraphidium_prob","INTEGER",2.55478318928447e-06,0.433357151470837,0.999993207883346,25438891,"2.55478318928447e-06, 2.6155451275594e-06, 3.54645370550658e-06, 3.59553995191441e-06, 3.60750709643663e-06, 3.70982670547405e-06, 3.74021892596536e-06, 3.86300194705222e-06, 3.88658367894035e-06, 3.99540689316262e-06, 3.996461376016e-06, 4.02792880237131e-06, 4.10980037068299e-06, 4.35578014895199e-06, 4.55011611115358e-06, 4.62437197592333e-06, 4.62624373100394e-06, 4.73735389213296e-06, 4.76460825417516e-06, 4.903923914785e-06, 4.97247625190626e-06, 4.97679117797688e-06, 4.98659665642757e-06, 5.03949176203404e-06, 5.06100902729176e-06, ..., 2.55478318928447e-06, 2.6155451275594e-06, 3.54645370550658e-06, 3.59553995191441e-06, 3.60750709643663e-06, 3.70982670547405e-06, 3.74021892596536e-06, 3.86300194705222e-06, 3.88658367894035e-06, 3.99540689316262e-06, 3.996461376016e-06, 4.02792880237131e-06, 4.10980037068299e-06, 4.35578014895199e-06, 4.55011611115358e-06, 4.62437197592333e-06, 4.62624373100394e-06, 4.73735389213296e-06, 4.76460825417516e-06, 4.903923914785e-06, 4.97247625190626e-06, 4.97679117797688e-06, 4.98659665642757e-06, 5.03949176203404e-06, 5.06100902729176e-06"
"93","flowcam__algae_traits","staurastrum2_prob","INTEGER",1.13980220689416e-05,0.00127305281690141,0.985738345379514,18936265,"1.13980220689416e-05, 1.15728635964357e-05, 1.2020730145899e-05, 1.35451588884531e-05, 1.37027962150039e-05, 1.37810255201161e-05, 1.41686167374897e-05, 1.44518726919895e-05, 1.44534986926218e-05, 1.46096440055077e-05, 1.46726214513785e-05, 1.5098035182695e-05, 1.51223050842756e-05, 1.52194206281544e-05, 1.55647841782394e-05, 1.5587580830677e-05, 1.56306296204445e-05, 1.57596478967431e-05, 1.58512542301323e-05, 1.59120711937312e-05, 1.61963844454454e-05, 1.62153658214508e-05, 1.63641389737223e-05, 1.63832426334739e-05, 1.65650912762829e-05, ..., 1.13980220689416e-05, 1.15728635964357e-05, 1.2020730145899e-05, 1.35451588884531e-05, 1.37027962150039e-05, 1.37810255201161e-05, 1.41686167374897e-05, 1.44518726919895e-05, 1.44534986926218e-05, 1.46096440055077e-05, 1.46726214513785e-05, 1.5098035182695e-05, 1.51223050842756e-05, 1.52194206281544e-05, 1.55647841782394e-05, 1.5587580830677e-05, 1.56306296204445e-05, 1.57596478967431e-05, 1.58512542301323e-05, 1.59120711937312e-05, 1.61963844454454e-05, 1.62153658214508e-05, 1.63641389737223e-05, 1.63832426334739e-05, 1.65650912762829e-05"
