"","table_name","column_name","unit","description","comment"
"1","bemovi_mag_16__mean_density_per_ml","timestamp",NA,NA,NA
"2","bemovi_mag_16__mean_density_per_ml","date",NA,NA,NA
"3","bemovi_mag_16__mean_density_per_ml","species",NA,NA,NA
"4","bemovi_mag_16__mean_density_per_ml","composition_id",NA,NA,NA
"5","bemovi_mag_16__mean_density_per_ml","bottle",NA,NA,NA
"6","bemovi_mag_16__mean_density_per_ml","temperature_treatment",NA,NA,NA
"7","bemovi_mag_16__mean_density_per_ml","magnification",NA,NA,NA
"8","bemovi_mag_16__mean_density_per_ml","sample",NA,NA,NA
"9","bemovi_mag_16__mean_density_per_ml","density",NA,NA,NA
