magnification,timestamp,day,file,decision
25,20221107,0,20221107_00095,ok
25,20221109,2,20221109_00026,ok
25,20221109,2,20221109_00069,ok
25,20221114,7,20221114_00011,ok
25,20221114,7,20221114_00038,ok
25,20221114,7,20221114_00087,ok
25,20221114,7,20221114_00093,ok
25,20221118,11,20221118_00020,ok
25,20221121,14,20221121_00024,ok
25,20221121,14,20221121_00053,ok
25,20221121,14,20221121_00065,ok
25,20221123,16,20221123_00028,ok
25,20221123,16,20221123_00081,ok
25,20221125,18,20221125_00053,ok
25,20221125,18,20221125_00063,ok
25,20221125,18,20221125_00069,ok
25,20221128,21,20221128_00027,ok
25,20221128,21,20221128_00047,ok
25,20221128,21,20221128_00096,ok
25,20221130,23,20221130_00016,ok
25,20221130,23,20221130_00022,ok
25,20221130,23,20221130_00030,ok
25,20221130,23,20221130_00044,ok
25,20221130,23,20221130_00075,ok
25,20221202,25,20221202_00059,ok
25,20221202,25,20221202_00060,ok
25,20221202,25,20221202_00065,ok
25,20221202,25,20221202_00082,ok
25,20221205,28,20221205_00014,ok
25,20221205,28,20221205_00040,ok
25,20221205,28,20221205_00059,ok
25,20221205,28,20221205_00064,ok
25,20221205,28,20221205_00090,ok
25,20221209,32,20221209_00015,ok
25,20221209,32,20221209_00029,ok
25,20221209,32,20221209_00071,ok
25,20221209,32,20221209_00081,ok
25,20221209,32,20221209_00090,ok
25,20221212,35,20221212_00011,ok
25,20221212,35,20221212_00015,ok
25,20221212,35,20221212_00051,ok
25,20221212,35,20221212_00087,ok
25,20221212,35,20221212_00090,ok
25,20221214,37,20221214_00023,ok
25,20221214,37,20221214_00045,ok
25,20221214,37,20221214_00062,ok
25,20221216,39,20221216_00034,ok
25,20221216,39,20221216_00060,ok
25,20221216,39,20221216_00069,ok
25,20221219,42,20221219_00028,ok
25,20221219,42,20221219_00058,ok
25,20221221,44,20221221_00031,ok
25,20221221,44,20221221_00051,ok
25,20221221,44,20221221_00082,ok
25,20221221,44,20221221_00092,ok
25,20221223,46,20221223_00012,ok
25,20221223,46,20221223_00013,ok
25,20221223,46,20221223_00023,ok
25,20221223,46,20221223_00069,ok
25,20221223,46,20221223_00089,ok
25,20221223,46,20221223_00092,ok
25,20221226,49,20221226_00042,ok
25,20221226,49,20221226_00057,ok
25,20221228,51,20221228_00054,ok
25,20221230,53,20221230_00022,ok
25,20230102,56,20230102_00025,ok
25,20230102,56,20230102_00028,ok
25,20230102,56,20230102_00045,ok
25,20230102,56,20230102_00052,ok
25,20230102,56,20230102_00061,ok
25,20230102,56,20230102_00086,ok
25,20230104,58,20230104_00009,ok
